RANK,CODETEAM,PLAYER,PLAYER_ID,NB_GAME,TIME_ON,PER,IRS,NOTE
198,ASV,"JACKSON, EDWIN",P000229,31,478.27,51.45,2.35,72.3
199,ASV,"KAHUDI, CHARLES",PKIR,29,501.57,50.15,2.24,72.2
200,BAR,"BRIZUELA, DARIO",P009992,30,418.1,43.85,2.14,72.0
201,RED,"GILLESPIE, FREDDIE",P011941,15,122.13,23.7,2.14,72.0
202,PAN,"SAMONTOUROV, ALEXANDROS",P011442,1,1.37,2.45,2.09,72.0
203,MUN,"GIFFEY, NIELS",P001557,31,399.19,40.85,2.04,71.9
204,PAM,"MARI, LUCAS",P010754,1,2.43,3.2,2.05,71.9
205,RED,"ILIC, DALIBOR",P011964,15,132.34,22.6,1.96,71.8
206,ZAL,"LEKAVICIUS, LUKAS",P003210,30,363.69,36.25,1.9,71.7
207,BER,"HERMANNSSON, MARTIN",P008780,12,244.82,29.35,1.88,71.6
208,ZAL,"SUMNER, EDMOND",P012787,23,309.0,32.0,1.82,71.5
209,OLY,"BRAZDEIKIS, IGNAS",P011983,26,285.39,29.85,1.77,71.5
210,ASV,"EGBUNU, JOHN",P012730,19,223.08,26.8,1.79,71.5
211,PAR,"PONITKA, MATEUSZ",P004172,26,362.1,33.19,1.74,71.4
212,MIL,"FLACCADORI, DIEGO",P005670,26,361.37,31.3,1.65,71.3
213,PAR,"JARAMAZ, OGNJEN",P004058,22,281.09,27.35,1.63,71.3
214,PAN,"KALAITZAKIS, PANAGIOTIS",P011209,23,138.72,19.85,1.69,71.3
215,ZAL,"LAVRINOVICIUS, DANIELIUS",P006860,19,120.38,18.3,1.67,71.3
216,IST,"YILMAZ, ERKAN",P006372,14,124.14,17.6,1.58,71.2
217,ULK,"SANLI, SERTAC",P002968,28,363.45,29.15,1.53,71.1
218,TEL,"COHEN, JAKE",P005145,30,298.37,26.55,1.54,71.1
219,ASV,"JACKSON, FRANK",P012732,6,120.89,16.75,1.52,71.1
220,PAM,"REUVERS, NATHAN",P012738,29,431.26,30.0,1.44,71.0
