GAMECODE,CODETEAM,joueur_1,TIME,DELTA_SCORE,OFF,DEF
15,ULM,P012602,0 days 00:11:08,2,23,21
15,ULM,P007952,0 days 00:10:46,3,27,24
15,ULM,P013289,0 days 00:05:48,4,13,9
15,JOV,P013285,0 days 00:26:44,5,55,50
15,JOV,P012740,0 days 00:25:58,-6,58,64
15,JOV,P013287,0 days 00:25:48,7,58,51
15,JOV,P002507,0 days 00:20:57,1,47,46
15,JOV,P004834,0 days 00:18:49,-5,36,41
15,JOV,PJUG,0 days 00:18:01,5,47,42
15,JOV,P002361,0 days 00:17:51,4,40,36
15,JOV,P010161,0 days 00:17:17,0,29,29
15,JOV,P012349,0 days 00:14:12,-11,25,36
15,JOV,P006771,0 days 00:10:24,-15,13,28
15,JOV,P013286,0 days 00:03:59,-5,7,12
16,LKB,P006586,0 days 00:22:51,-24,36,60
16,LKB,P013247,0 days 00:22:19,-1,45,46
16,LKB,P005521,0 days 00:21:24,-3,40,43
16,LKB,P009299,0 days 00:21:20,-7,44,51
16,LKB,P005113,0 days 00:20:57,2,44,42
16,LKB,P005656,0 days 00:20:57,10,47,37
16,LKB,PLXI,0 days 00:20:29,-25,34,59
16,LKB,P009898,0 days 00:19:33,-18,33,51
16,LKB,P010461,0 days 00:19:03,-22,30,52
16,LKB,P006860,0 days 00:11:07,-12,17,29
16,JER,P006625,0 days 00:31:02,24,81,57
16,JER,P011970,0 days 00:30:02,22,73,51
16,JER,P010587,0 days 00:28:39,15,73,58
16,JER,P013276,0 days 00:21:06,23,54,31
16,JER,P013277,0 days 00:20:34,-7,39,46
16,JER,P010431,0 days 00:19:23,29,55,26
16,JER,P008912,0 days 00:18:51,-9,34,43
16,JER,P013278,0 days 00:12:34,-14,21,35
16,JER,P013279,0 days 00:12:22,10,26,16
16,JER,P013281,0 days 00:05:27,7,14,7
17,ARI,P008084,0 days 00:30:17,-3,52,55
17,ARI,P013250,0 days 00:27:29,-8,44,52
17,ARI,P013249,0 days 00:26:16,-3,46,49
17,ARI,P004292,0 days 00:24:06,0,38,38
17,ARI,P013252,0 days 00:23:16,-6,32,38
17,ARI,P003240,0 days 00:20:00,-4,28,32
17,ARI,P013251,0 days 00:19:16,2,31,29
17,ARI,P013248,0 days 00:12:04,5,27,22
17,ARI,P013356,0 days 00:09:50,-1,13,14
17,ARI,P013355,0 days 00:04:15,-4,2,6
17,ARI,P013360,0 days 00:03:07,-5,0,5
17,ARI,P013049,0 days 00:00:04,2,2,0
17,TTK,P009025,0 days 00:34:40,7,62,55
17,TTK,P011973,0 days 00:33:17,2,57,55
17,TTK,P006598,0 days 00:29:18,16,54,38
17,TTK,P013300,0 days 00:27:39,1,43,42
17,TTK,P004218,0 days 00:19:32,2,32,30
17,TTK,P012259,0 days 00:18:37,-8,32,40
17,TTK,P004056,0 days 00:14:38,0,27,27
17,TTK,P011935,0 days 00:11:13,7,17,10
17,TTK,P007917,0 days 00:06:53,-2,10,12
17,TTK,P004619,0 days 00:02:36,1,6,5
17,TTK,P012415,0 days 00:01:37,-1,0,1
18,LJU,P012042,0 days 00:29:14,3,64,61
18,LJU,P003703,0 days 00:27:12,5,56,51
18,LJU,P003452,0 days 00:25:14,3,58,55
18,LJU,P009392,0 days 00:20:54,14,51,37
18,LJU,P009753,0 days 00:20:36,-6,39,45
18,LJU,P012700,0 days 00:19:43,-13,34,47
18,LJU,P013263,0 days 00:17:13,12,42,30
18,LJU,P013260,0 days 00:15:39,3,37,34
18,LJU,P013261,0 days 00:11:54,1,25,24
18,LJU,P013262,0 days 00:10:19,5,24,19
18,LJU,P012996,0 days 00:02:02,-2,5,7
18,VNC,P008858,0 days 00:31:59,-9,63,72
18,VNC,P005404,0 days 00:31:36,1,71,70
18,VNC,P012796,0 days 00:29:25,7,63,56
18,VNC,P011909,0 days 00:23:53,10,53,43
18,VNC,P011928,0 days 00:21:53,10,53,43
18,VNC,P008052,0 days 00:20:13,-15,38,53
18,VNC,P009400,0 days 00:18:32,-1,39,40
18,VNC,P013305,0 days 00:14:01,-16,20,36
18,VNC,P003759,0 days 00:07:25,-9,10,19
18,VNC,P006571,0 days 00:01:03,-3,0,3
19,BOU,P013266,0 days 00:24:32,3,53,50
19,BOU,P013265,0 days 00:22:57,8,50,42
19,BOU,P011837,0 days 00:22:04,6,50,44
19,BOU,P013264,0 days 00:20:50,1,41,40
19,BOU,P010449,0 days 00:20:41,13,48,35
19,BOU,P004525,0 days 00:20:21,11,46,35
19,BOU,P006904,0 days 00:19:19,-2,36,38
19,BOU,P010450,0 days 00:17:21,4,35,31
19,BOU,P009552,0 days 00:16:45,4,31,27
19,BOU,P009556,0 days 00:09:49,9,21,12
19,BOU,P004945,0 days 00:05:21,-2,9,11
19,CLU,P013302,0 days 00:29:40,7,62,55
19,CLU,P012698,0 days 00:24:48,4,52,48
19,CLU,P013304,0 days 00:24:40,10,52,42
19,CLU,P002820,0 days 00:23:31,-1,46,47
19,CLU,P006618,0 days 00:22:32,-13,39,52
19,CLU,P005714,0 days 00:16:08,-13,26,39
19,CLU,P011801,0 days 00:15:57,-23,17,40
19,CLU,P010651,0 days 00:15:03,-2,28,30
19,CLU,P012620,0 days 00:14:32,-7,26,33
19,CLU,P004862,0 days 00:13:09,-17,17,34
20,PAM,P010042,0 days 00:23:35,4,55,51
20,PAM,P010393,0 days 00:22:38,9,59,50
20,PAM,P007527,0 days 00:20:15,13,55,42
