Gamecode,CODETEAM,J1,TIME,DELTA_SCORE,OFF,DEF
21,OLY,P008811,12.433,11,30,19
21,OLY,P008829,16.349,9,35,26
21,OLY,P008855,22.283,8,49,41
21,OLY,P009849,8.499,9,14,5
21,OLY,P010392,1.75,0,4,4
21,OLY,P011194,6.549,3,13,10
21,OLY,P012878,21.016,7,46,39
21,OLY,P013380,21.783,6,47,41
22,BAS,P004058,3.667,0,5,5
22,BAS,P007230,24.1,-5,47,52
22,BAS,P008072,28.317,9,53,44
22,BAS,P011085,14.75,9,29,20
22,BAS,P011196,9.35,-5,16,21
22,BAS,P011948,17.816,3,38,35
22,BAS,P012058,14.517,-5,27,32
22,BAS,P012080,23.517,3,40,37
22,BAS,P012201,27.65,7,54,47
22,BAS,P012597,20.45,0,43,43
22,BAS,P013367,15.866,4,28,24
22,MAD,P003108,27.617,-8,49,57
22,MAD,P003583,6.817,-7,7,14
22,MAD,P003733,7.983,-11,9,20
22,MAD,P005791,33.033,1,63,62
22,MAD,P006540,33.45,3,65,62
22,MAD,P009005,25.783,-5,45,50
22,MAD,P009213,26.667,5,50,45
22,MAD,P013378,15.117,0,27,27
22,MAD,PTGB,23.533,2,45,43
23,PAN,P001926,14.868,-7,29,36
23,PAN,P002328,15.733,6,34,28
23,PAN,P003842,29.852,2,58,56
23,PAN,P004088,11.917,-1,28,29
23,PAN,P005161,11.267,4,22,18
23,PAN,P005353,7.55,-12,10,22
23,PAN,P007866,14.868,-4,27,31
23,PAN,P009622,18.502,-7,39,46
23,PAN,P011204,30.885,-1,62,63
23,PAN,P011209,1.583,0,2,2
23,PAN,P012712,15.717,1,35,34
23,PAN,P012774,27.268,-1,54,55
23,PRS,P004197,19.717,1,40,39
23,PRS,P005793,13.333,12,29,17
23,PRS,P010390,18.55,-14,36,50
23,PRS,P012608,27.417,-6,57,63
23,PRS,P012609,23.6,10,51,41
23,PRS,P012610,23.283,-19,43,62
23,PRS,P012611,9.683,14,24,10
23,PRS,P012612,11.416,4,28,24
23,PRS,P012613,23.334,5,52,47
23,PRS,P012640,20.283,3,44,41
23,PRS,P013373,9.384,10,16,6
24,VIR,P001133,28.45,1,51,50
24,VIR,P001844,13.884,-9,19,28
24,VIR,P002084,13.7,-1,18,19
24,VIR,P004554,6.984,-7,8,15
24,VIR,P004888,36.317,8,67,59
24,VIR,P005738,4.167,-10,7,17
24,VIR,P006739,24.45,5,43,38
24,VIR,P009549,18.201,-4,29,33
24,VIR,P012585,5.15,-6,11,17
24,VIR,P012591,5.067,-4,8,12
24,VIR,P013374,24.151,15,48,33
24,VIR,PBCN,19.484,-3,31,34
24,ZAL,P002329,26.833,-8,45,53
24,ZAL,P002676,16.45,15,34,19
24,ZAL,P003048,16.483,-20,11,31
24,ZAL,P003210,9.267,-6,12,18
24,ZAL,P005504,14.717,4,31,27
24,ZAL,P007029,19.901,4,30,26
24,ZAL,P007513,30.366,-5,52,57
24,ZAL,P007975,25.567,11,54,43
24,ZAL,P011051,8.8,19,29,10
24,ZAL,P011983,13.366,-14,15,29
24,ZAL,P012622,18.25,15,42,27
26,MUN,P004508,27.732,-2,61,63
26,MUN,P005460,10.916,12,26,14
