TEAM,NAME,PLAYER_ID,NAT,LINK
MCO,"OKOBO, ELIE",P011212,FRA,https://media-cdn.incrowdsports.com/2383a124-8ef4-4332-80e6-2205022f82e9.png
MCO,"PAPAGIANNIS, GEORGIOS",P005844,GRE,https://media-cdn.incrowdsports.com/cb807059-ac98-4f20-b7c5-88d7d6862d06.png
MCO,"STRAZEL, MATTHEW",P008099,FRA,https://media-cdn.incrowdsports.com/15bebd90-1b9f-42b9-99fb-ced9102c9aad.png
MCO,"TARPEY, TERRY",P012515,FRA,https://media-cdn.incrowdsports.com/7e0e48b2-b483-4780-9bd7-197a630f9235.png
MIL,"BOLMARO, LEANDRO",P008985,ITA,https://media-cdn.incrowdsports.com/ea51e519-2f07-44bf-ae25-3f3f825ba0c8.png
MIL,"BROOKS, ARMONI",P013384,USA,https://media-cdn.incrowdsports.com/aad0e402-ea32-4e04-8741-f488f652c9c1.png
MIL,"CAUSEUR, FABIEN",P001392,FRA,https://media-cdn.incrowdsports.com/c02a4dc6-4b7f-4b9e-89ae-10a8ed78fd34.png
MIL,"DIMITRIJEVIC, NENO",P006085,MKD,https://media-cdn.incrowdsports.com/b73d9c63-2a0f-45be-bcfb-bab12c6e1043.png
MIL,"DIOP, OUSMANE",P013385,SEN,https://media-cdn.incrowdsports.com/d0167b04-5f43-414c-8093-b621c30cb05b.png
MIL,"LEDAY, ZACH",P008987,USA,https://media-cdn.incrowdsports.com/9e33219b-4fb2-46c7-bc55-2a04b583348a.png
MIL,"MC CORMACK, DAVID",P013386,USA,https://media-cdn.incrowdsports.com/27880101-0ad2-4d9d-8339-4ccaa2288ede.png
MIL,"MIROTIC, NIKOLA",P000796,ESP,https://media-cdn.incrowdsports.com/a771b68b-2056-4318-83a0-24b2ffb36d11.png
MIL,"NEBO, JOSH",P011199,SLO,https://media-cdn.incrowdsports.com/96ccc0f9-fd2d-4da8-af58-8d1bfe2fd839.png
MIL,"RICCI, GIAMPAOLO",P001518,ITA,https://media-cdn.incrowdsports.com/dc523b20-4e9c-4806-afa9-3993cbfb9d2f.png
MIL,"SHIELDS, SHAVON",P007831,DEN,https://media-cdn.incrowdsports.com/cc164c6b-d942-4733-a6ff-dc4544e1a6c2.png
MIL,"TONUT, STEFANO",P006509,ITA,https://media-cdn.incrowdsports.com/4fccbbc2-857f-4da1-9dab-fc44b47fe75f.png
ZAL,"BIRUTIS, LAURYNAS",P005504,LTU,https://media-cdn.incrowdsports.com/b3a77237-9548-4094-8536-a910283e5184.png
