TEAM,NAME,PLAYER_ID,NAT,LINK
JER,"DOVRAT, NOAM",P009879,ISR,https://media-cdn.incrowdsports.com/76d89852-3d64-4bcc-b259-a828413b0453.png
JER,"JOHNSON, CHRIS",P013277,USA,https://media-cdn.incrowdsports.com/ede1defd-72b8-49c3-8680-29e9dd282f75.png
JER,"MORGAN, JEREMY",P010431,USA,https://media-cdn.incrowdsports.com/c8fc13bd-b8b9-4241-a0b1-c843b4813d3e.png
JER,"SMITH, KENNETH",P010587,USA,https://media-cdn.incrowdsports.com/e96eefbb-b8c9-4ff7-a408-9e405b047c0a.png
JER,"ZOOSMAN, YOVEL",P006625,ISR,https://media-cdn.incrowdsports.com/db31839e-5e4a-4af1-bdfa-5dd0188962ee.png
VNC,"CASARIN, DAVIDE",P009400,ITA,https://media-cdn.incrowdsports.com/f3615b58-07f0-46cb-91e2-b99be06fe4ad.png
VNC,"FERNANDEZ, JUAN",P005177,ITA,https://media-cdn.incrowdsports.com/fa06f7b7-0cd2-4eed-9ae0-a72a8adf86da.png
VNC,"JANELIDZE, GIGA",P012588,GEO,https://media-cdn.incrowdsports.com/dc8349c5-c7fe-4c9e-a751-7a2760165484.png
VNC,"KABENGELE, MFIONDU",P012796,CAN,https://media-cdn.incrowdsports.com/71df5c61-9333-4bd9-87c2-ffe45c876855.png
VNC,"LEVER, ALESSANDRO",P006571,ITA,https://media-cdn.incrowdsports.com/189b41d7-eb73-4986-99c6-f8d0029992f2.png
VNC,"MC GRUDER, RODNEY",P012800,USA,https://media-cdn.incrowdsports.com/5412830c-2c76-40d8-ad13-e96058e02f2e.png
VNC,"MORETTI, DAVIDE",P005404,ITA,https://media-cdn.incrowdsports.com/b447a9dc-e12c-41a9-b8ba-55175cb843a5.png
VNC,"PARKS, JORDAN",P011909,USA,https://media-cdn.incrowdsports.com/449befd0-a2a1-47e9-a7df-86c170244f6a.png
VNC,"SIMMS, AAMIR",P011928,USA,https://media-cdn.incrowdsports.com/90929047-a06a-4908-b66f-3992ebdd5a6c.png
VNC,"TESSITORI,  AMEDEO",P003759,ITA,https://media-cdn.incrowdsports.com/89a0ea60-107a-4a3e-b8c1-4f86788f24ca.png
VNC,"WHEATLE, CARL",P013305,UK ,https://media-cdn.incrowdsports.com/b4bb0338-1e76-44cb-b7cc-0c8cc996266e.png
VNC,"WILTJER, KYLE",P008052,USA,https://media-cdn.incrowdsports.com/6d8afeb7-1750-4a0b-bf4c-69a4ad4fd655.png
TTK,"AGVA, MAHIR",P004619,GER,https://media-cdn.incrowdsports.com/60f01b3d-0670-4d21-8fd8-26d4fc140228.png
TTK,"AKPINAR, ISMET",P004056,GER,https://media-cdn.incrowdsports.com/c68d2436-e727-47b6-a1a1-44aa7924c66e.png
TTK,"BESS, JAVON",P013300,USA,https://media-cdn.incrowdsports.com/3d6ee03a-fabf-486f-9160-f744af18e2a5.png
TTK,"BROWN, ANTHONY",P009025,USA,https://media-cdn.incrowdsports.com/19a24ab9-4b29-46a0-83f8-688bbc50496c.png
TTK,"DURMAZ, BERKAN",P007917,TUR,https://media-cdn.incrowdsports.com/29b9bcba-30e1-4faf-aaab-3f12672b865b.png
TTK,"HANLAN, OLIVIER",P006598,CAN,https://media-cdn.incrowdsports.com/6c9331a0-bfbe-49bb-92e4-81eb189b2732.png
TTK,"MAKOUNDOU, YOAN",P011935,FRA,https://media-cdn.incrowdsports.com/339d1169-e99e-4cfa-bcf3-b217af9b91bb.png
TTK,"OZDOGAN, ARDA",P011977,TUR,https://media-cdn.incrowdsports.com/1ee5f89d-0bae-43a8-88f2-90c16e352ce9.png
TTK,"TARLA, KAAN",P010811,TUR,https://media-cdn.incrowdsports.com/dd86a6bf-e56c-4cfc-8c42-392cbfb8c714.png
TTK,"TEKCEVIK, METE",P013299,TUR,https://media-cdn.incrowdsports.com/1ff02ecf-7b33-4a0f-b3e8-90a1a3ce3b7b.png
TTK,"TUNCA, MELIH",P012415,TUR,https://media-cdn.incrowdsports.com/84131a4c-7cf1-4e32-858e-dd854de48c6d.png
CLU,"GUZMAN, KAREL",P011797,CUB,https://media-cdn.incrowdsports.com/374362fb-7f20-4f6a-b455-a40ffe8b5cf3.png
CLU,"HANKINS, ZACH",P013304,USA,https://media-cdn.incrowdsports.com/19e957cb-0639-49a0-9550-0811f8517b1c.png
CLU,"HERVEY, KEVIN",P010651,USA,https://media-cdn.incrowdsports.com/1c72286d-ac50-4040-bf60-24f43c22b8e9.png
CLU,"MACIUCA, MIHAI",P012620,ROU,https://media-cdn.incrowdsports.com/4240a767-b180-41b1-9fe7-b9fd46ed26c2.png
CLU,"MEJERIS, MAREKS",P005714,LAT,https://media-cdn.incrowdsports.com/9eb76962-b79d-41b9-afaf-f173cfaf22cf.png
CLU,"MOKOKA, ADAM",P012698,FRA,https://media-cdn.incrowdsports.com/809d5e44-ef1b-4352-a2b5-df756bf849f9.png
CLU,"SALIN, SASU",P002820,FIN,https://media-cdn.incrowdsports.com/032f8e78-4120-4166-9d3d-96ef557e5859.png
CLU,"SEELEY, DENNIS",P004862,USA,https://media-cdn.incrowdsports.com/a4943465-7938-45eb-b555-48c67d662df0.png
CLU,"SIMPSON, ZAVIER",P013302,USA,https://media-cdn.incrowdsports.com/bf9679f2-1088-497d-a676-1c8e1b5a14d4.png
