RANK,CODETEAM,PLAYER,NUMBER,PLAYER_ID,NB_GAME,TIME_ON,PER,IRS,NOTE
175,MAD,"GARUBA, USMAN",16,P007630,9,100.62,28.51,2.842,72.1
176,BER,"OLINDE, LOUIS",19,P006919,12,252.88,44.62,2.806,72.0
177,PRS,"CAVALIERE, LEOPOLD",4,P013373,20,207.48,40.35,2.801,72.0
178,ASV,"HARRISON, SHAQUILLE",1,P013371,21,375.75,52.66,2.717,71.8
179,MIL,"DIOP, OUSMANE",25,P013385,12,116.82,28.72,2.657,71.7
180,BAS,"LUWAWU-CABARROT, TIMOTHE",9,P012080,15,365.36,48.54,2.54,71.4
181,MIL,"RICCI, GIAMPAOLO",17,P001518,20,294.43,44.08,2.569,71.4
182,PRS,"OUATTARA, YAKUBA",24,P004197,18,260.3,40.55,2.513,71.3
183,RED,"DOBRIC, OGNJEN",13,P004007,14,166.7,31.99,2.478,71.2
184,MUN,"HARRIS, ELIAS",20,P005460,15,130.88,28.35,2.478,71.2
185,ULK,"MARJANOVIC, BOBAN",51,PLMG,6,60.45,19.18,2.467,71.2
186,TEL,"LOYD, JORDAN",3,P009754,2,55.13,18.18,2.448,71.2
187,BER,"SCHNEIDER, TIM",10,P006251,20,382.2,47.53,2.431,71.1
188,OLY,"WRIGHT, MOSES",2,P012878,11,141.85,28.61,2.402,71.1
189,MCO,"CORNELIE, PETR",12,P004790,5,63.85,18.91,2.366,71.0
190,ZAL,"MANEK, BRADY",45,P012715,18,188.29,31.45,2.292,70.8
191,PAN,"ANTETOKOUNMPO, KOSTAS",37,P011221,3,23.3,10.91,2.26,70.7
192,PRS,"SY, BANDJA",5,P005793,18,248.02,34.55,2.194,70.6
193,BAS,"JARAMAZ, OGNJEN",10,P004058,11,105.77,22.72,2.209,70.6
194,IST,"YILMAZ, ERKAN",33,P006372,3,10.37,7.05,2.19,70.6
195,BER,"THOMAS, MATT",11,P008967,9,208.41,31.03,2.149,70.5
196,MUN,"BRANKOVIC, DANKO",22,P007639,15,120.92,23.91,2.174,70.5
197,MIL,"GILLESPIE, FREDDIE",55,P011941,9,100.35,21.72,2.168,70.5
198,MIL,"CARUSO, GUGLIELMO",30,P006721,10,61.6,17.01,2.167,70.5
199,BAR,"NETO, RAUL",23,P013505,2,7.1,5.75,2.158,70.5
200,PAR,"MARINKOVIC, VANJA",9,P004761,13,284.28,35.13,2.084,70.3
201,ULK,"MAYS, SKYLAR",9,P013396,14,141.81,23.63,1.984,70.1
202,ZAL,"MITCHELL, MATTHEW",21,P012622,19,318.34,35.11,1.968,70.0
203,BER,"RAPIEQUE, ELIAS",25,P011631,17,246.49,30.51,1.943,70.0
204,BER,"MCDOWELL-WHITE, WILL",7,P008062,10,178.58,25.45,1.904,69.9
205,PAN,"KALAITZAKIS, PANAGIOTIS",0,P011209,17,116.74,20.5,1.897,69.9
206,PAN,"GABRIEL, WENYEN",32,P013383,4,57.07,14.21,1.881,69.8
207,RED,"TEODOSIC, MILOS",4,PJDR,13,151.02,22.19,1.806,69.6
208,PRS,"SHAHRVIN, ENZO",18,P012612,4,32.18,10.15,1.789,69.6
209,PAN,"PAPAPETROU, IOANNIS",21,P005161,16,189.73,23.52,1.707,69.4
210,MUN,"YEBO, KEVIN",53,P013368,13,93.27,16.43,1.701,69.4
211,BER,"SAMAR, ZIGA",18,P007550,14,190.84,22.8,1.651,69.3
212,ASV,"LIGHTY, DAVID",23,P003526,21,421.19,33.55,1.635,69.2
213,VIR,"BELINELLI, MARCO",3,PBCN,20,300.5,27.74,1.6,69.2
214,OLY,"DORSEY, TYLER",22,P009849,14,150.87,19.74,1.607,69.2
215,MCO,"KORKMAZ, FURKAN",10,P005763,3,35.95,9.59,1.599,69.2
216,MUN,"MADAR, YAM",41,P011052,5,59.7,12.17,1.575,69.1
217,RED,"BROWN III, JOHN",1,P010588,3,27.4,8.2,1.566,69.1
218,MCO,"CALATHES, NICK",33,P001932,3,40.47,9.59,1.507,68.9
219,OLY,"LARENTZAKIS, GIANNOULIS",5,P010392,5,36.33,8.96,1.486,68.9
220,MIL,"TONUT, STEFANO",7,P006509,14,180.2,17.41,1.297,68.5
221,MIL,"FLACCADORI, DIEGO",21,P005670,6,44.48,8.81,1.321,68.5
222,RED,"LAZIC, BRANKO",10,PLUO,8,46.66,8.79,1.287,68.4
223,PAN,"SAMODUROV, ALEXANDROS",20,P011442,2,5.38,3.0,1.293,68.4
224,TEL,"COHEN, JAKE",15,P005145,13,100.6,12.21,1.217,68.3
225,TEL,"MENCO, RAFI",8,P004233,6,30.8,6.9,1.243,68.3
226,BAR,"SARR, DAME",2,P011666,8,32.9,6.84,1.192,68.2
227,VIR,"GRAZULIS, ANDREJS",24,P005738,12,147.45,13.88,1.143,68.1
228,PAR,"NAKIC, MARIO",7,P007632,11,93.9,10.54,1.088,68.0
229,MIL,"BORTOLANI, GIORDANO",3,P006701,2,7.75,3.1,1.114,68.0
230,TEL,"DIBARTOLOMEO, JOHN",12,P007990,20,332.3,18.81,1.032,67.8
231,PAR,"BOSNJAKOVIC, MITAR",8,P012167,4,35.76,6.14,1.027,67.8
232,PAN,"MORAITIS, DIMITRIS",6,P006544,1,4.12,2.1,1.035,67.8
233,IST,"JOHNSON, STANLEY",14,P013364,16,126.65,10.78,0.958,67.7
234,MUN,"LUCIC, VLADIMIR",11,P001288,2,43.62,6.26,0.948,67.6
235,MAD,"FELIZ, ANDRES",24,P011247,14,162.05,11.54,0.906,67.5
236,TEL,"SHAYOK, MARIAL",3,P011202,11,152.75,11.1,0.898,67.5
237,MUN,"GIFFEY, NIELS",5,P001557,10,146.78,10.88,0.898,67.5
238,PAN,"GRIGONIS, MARIUS",40,P002328,4,45.83,6.0,0.886,67.5
239,PAR,"LAKIC, ARIJAN",19,P007736,1,18.47,3.7,0.861,67.4
240,ASV,"AJINCA, MELVIN",8,P010316,14,217.2,12.01,0.815,67.3
241,BAR,"PARRA, JOEL",44,P007464,13,139.24,9.74,0.825,67.3
242,ASV,"SCHOFIELD, ADMIRAL",2,P013372,6,102.03,8.15,0.807,67.3
243,BAS,"RAIESTE, SANDER",2,P008850,8,70.54,6.91,0.823,67.3
244,IST,"OZDEMIROGLU, DOGUS",18,P006640,7,53.6,5.04,0.688,67.0
245,VIR,"HACKETT, DANIEL",23,P001844,18,246.28,10.28,0.655,66.9
246,TEL,"DE JULIUS, DAVID",55,P013250,13,141.0,7.18,0.605,66.8
247,MUN,"VOLF, IVAN",44,P012126,1,7.17,1.55,0.579,66.8
