CODETEAM,PLAYER_ID,PLAYER
RED,P007960,"DAVIDOVAC, DEJAN"
MIL,P013384,"BROOKS, ARMONI"
MIL,P001518,"RICCI, GIAMPAOLO"
RED,P011686,"RADOSIC, OGNJEN"
DUB,P003458,"BERTANS, DAVIS"
DUB,P012606,"WRIGHT IV, MCKINLEY"
PAR,P012745,"PARKER, JABARI"
DUB,P011286,"BACON, DWAYNE"
DUB,P006540,"MUSA, DZANAN"
PAR,P013370,"WASHINGTON, DUANE"
PAR,P012720,"BROWN, STERLING"
PAR,P010581,"OSETKOWSKI, DYLAN"
DUB,P012796,"KABENGELE, MFIONDU"
PAR,P007736,"LAKIC, ARIJAN"
DUB,P011194,"PETRUSEV, FILIP"
PAR,P013369,"JONES, CARLIK"
PAR,P011981,"JONES, TYRIQUE"
DUB,P003527,"ABASS, AWUDU"
PAR,P006760,"BONGA, ISAAC"
DUB,P002661,"PREPELIC, KLEMEN"
DUB,P014031,"KONDIC, KOSTA"
PAR,P014007,"MILTON, SHAKE"
DUB,P005942,"DANGUBIC, NEMANJA"
PAR,P004761,"MARINKOVIC, VANJA"
DUB,P012795,"ANDERSON, JUSTIN"
DUB,P008325,"KAMENJAS, KENAN"
PAR,P008232,"POKUSEVSKI, ALEKSEJ"
BAR,P002939,"SATORANSKY, TOMAS"
HTA,P013284,"WAINRIGHT, ISH"
HTA,P002580,"MICIC, VASILIJE"
BAR,P009862,"PUNTER, KEVIN"
BAR,P004888,"CLYBURN, WILL"
BAR,P001133,"SHENGELIA, TORNIKE"
HTA,P012609,"MALCOLM, COLLIN"
HTA,P009846,"BRYANT, ELIJAH"
BAR,P003196,"HERNANGOMEZ, WILLY"
HTA,P012788,"OTURU, DAN"
HTA,P011157,"MOTLEY, JOHNATHAN"
HTA,P013402,"BLAKENEY, ANTONIO"
BAR,P009948,"MARCOS, JUANI"
BAR,P013269,"CALE, MYLES"
BAR,P000925,"VESELY, JAN"
BAR,P007464,"PARRA, JOEL"
HTA,P010568,"JONES, CHRIS"
BAR,P006435,"LAPROVITTOLA, NICOLAS"
HTA,P010550,"GINAT, TOMER"
BAR,P009992,"BRIZUELA, DARIO"
BAR,P006568,"FALL, YOUSSOUPHA"
HTA,P011823,"ODIASE, TAI"
PAN,P012608,"SHORTS, TJ"
MUN,P004863,"JOVIC, STEFAN"
MUN,P013378,"RATHAN-MAYES, XAVIER"
MUN,P004512,"KRATZER, LEON"
MUN,P011836,"MIKE, ISIAHA"
PAN,P014011,"HOLMES, RICHAUN"
PAN,P012774,"NUNN, KENDRICK"
PAN,P012712,"HERNANGOMEZ, JUANCHO"
PAN,P011085,"ROGKAVOPOULOS, NIKOLAOS"
MUN,P001288,"LUCIC, VLADIMIR"
MUN,P013383,"GABRIEL, WENYEN"
MUN,P004508,"OBST, ANDREAS"
MUN,P012597,"BALDWIN, KAMAR"
PAN,P011204,"GRANT, JERIAN"
MUN,P001557,"GIFFEY, NIELS"
MUN,P013290,"JESSUP, JUSTINIAN"
PAN,P007866,"MITOGLOU, KONSTANTINOS"
PAN,P005353,"YURTSEVEN, OMER"
PAN,P002328,"GRIGONIS, MARIUS"
PAN,P001926,"SLOUKAS, KOSTAS"
MUN,P013386,"MCCORMACK, DAVID"
MUN,P011244,"DA SILVA, OSCAR"
PAN,P011442,"SAMODUROV, ALEXANDROS"
VIR,P014005,"ALSTON JR. , DERRICK"
MAD,P014006,"OKEKE, CHUMA"
VIR,P011051,"SMAILAGIC, ALEN"
