Season,ROUND,Gamecode,TEAM,OPPONENT,WIN,HOME,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24
2025,2,17,BAS,ASV,NO,NO,6,18,28,33,35,40,43,45,48,54,59,66,76,80,84,95,,,,,,,,
2025,2,18,PAN,BAR,NO,YES,0,8,13,17,26,35,40,45,50,54,62,69,71,76,85,96,,,,,,,,
2025,2,18,BAR,PAN,YES,NO,8,11,16,26,30,36,45,51,59,66,71,75,85,87,93,103,,,,,,,,
2025,2,19,PAM,VIR,YES,YES,5,11,21,26,31,42,46,49,60,66,68,75,80,86,94,103,,,,,,,,
2025,2,19,VIR,PAM,NO,NO,8,13,17,23,25,30,40,46,50,59,63,71,75,79,81,94,,,,,,,,
2025,2,20,ZAL,ULK,YES,YES,7,13,19,29,33,37,39,43,49,54,59,65,69,72,76,84,,,,,,,,
2025,2,20,ULK,ZAL,NO,NO,2,10,14,20,26,32,36,37,41,47,51,53,61,70,75,81,,,,,,,,
2025,3,21,HTA,TEL,NO,YES,4,8,18,25,31,35,38,45,51,58,65,70,74,77,81,90,,,,,,,,
2025,3,21,TEL,HTA,YES,NO,5,12,21,24,30,37,41,45,52,55,64,72,76,87,91,103,,,,,,,,
2025,3,22,BAS,PAN,NO,YES,3,5,9,14,19,19,27,36,43,45,49,56,63,68,73,84,,,,,,,,
2025,3,22,PAN,BAS,YES,NO,5,9,16,20,24,30,34,42,46,51,60,71,73,76,80,86,,,,,,,,
2025,3,23,MIL,MCO,NO,YES,7,13,13,17,27,27,32,36,43,48,56,62,62,69,75,79,,,,,,,,
2025,3,23,MCO,MIL,YES,NO,8,15,21,22,26,31,38,41,45,53,61,66,66,74,79,82,,,,,,,,
2025,3,24,PRS,VIR,YES,YES,10,17,24,24,30,35,44,49,57,61,66,72,79,84,86,90,,,,,,,,
2025,3,24,VIR,PRS,NO,NO,6,11,20,24,24,28,32,40,43,48,53,60,66,66,70,79,,,,,,,,
2025,3,25,MAD,ASV,YES,YES,11,20,22,27,29,32,40,48,56,60,62,66,70,78,85,85,,,,,,,,
2025,3,25,ASV,MAD,NO,NO,6,9,16,19,21,26,35,37,47,49,51,53,57,61,66,72,,,,,,,,
2025,3,26,PAR,IST,YES,YES,11,15,23,31,38,45,51,55,58,65,69,71,75,82,85,93,,,,,,,,
2025,3,26,IST,PAR,NO,NO,4,7,16,24,27,33,39,43,48,55,63,69,73,76,81,87,,,,,,,,
2025,3,27,OLY,DUB,YES,YES,5,11,17,23,29,33,41,43,50,61,64,71,76,79,84,86,,,,,,,,
2025,3,27,DUB,OLY,NO,NO,7,11,13,16,20,26,29,31,34,41,49,52,53,60,65,67,,,,,,,,
2025,3,28,BAR,PAM,YES,YES,6,16,24,26,34,37,43,48,58,66,74,78,82,93,101,108,,,,,,,,
2025,3,28,PAM,BAR,NO,NO,2,6,18,25,29,33,44,49,54,59,68,75,84,88,93,102,,,,,,,,
2025,3,29,MUN,ZAL,NO,YES,4,9,14,20,22,24,26,33,35,43,47,57,59,61,61,70,,,,,,,,
2025,3,29,ZAL,MUN,YES,NO,0,9,18,26,29,37,41,45,53,61,64,68,79,81,87,98,,,,,,,,
2025,3,30,ULK,RED,NO,YES,3,8,14,17,20,21,25,30,37,39,48,48,52,61,69,81,,,,,,,,
2025,3,30,RED,ULK,YES,NO,10,14,23,25,29,31,37,43,45,50,55,56,61,67,75,86,,,,,,,,
2025,4,31,RED,ZAL,YES,YES,2,9,17,23,28,30,37,45,48,50,55,57,66,72,77,88,,,,,,,,
2025,4,31,ZAL,RED,NO,NO,4,16,22,27,31,37,37,39,43,47,51,58,65,69,72,79,,,,,,,,
2025,4,32,MUN,MIL,YES,YES,0,6,11,16,21,21,24,28,31,38,42,46,46,52,58,64,,,,,,,,
2025,4,32,MIL,MUN,NO,NO,3,5,10,14,19,21,27,33,35,37,37,40,42,46,50,53,,,,,,,,
2025,4,33,ULK,DUB,NO,YES,5,9,12,20,24,29,31,31,33,39,46,48,54,56,61,69,,,,,,,,
2025,4,33,DUB,ULK,YES,NO,7,15,20,25,32,37,39,46,51,56,64,71,77,83,90,93,,,,,,,,
2025,4,34,OLY,IST,NO,YES,6,14,19,25,31,35,42,51,55,59,63,67,67,73,74,78,,,,,,,,
2025,4,34,IST,OLY,YES,NO,2,13,21,28,35,41,43,48,50,55,61,67,67,70,74,82,,,,,,,,
2025,4,35,TEL,BAR,NO,YES,4,8,11,18,20,26,26,32,34,40,42,48,51,61,68,71,,,,,,,,
2025,4,35,BAR,TEL,YES,NO,10,15,24,31,35,39,50,60,66,69,71,73,80,83,89,92,,,,,,,,
2025,4,36,PAN,ASV,YES,YES,5,13,19,26,28,36,38,48,50,58,63,68,72,78,82,91,,,,,,,,
2025,4,36,ASV,PAN,NO,NO,4,12,14,19,28,34,36,39,41,49,53,60,69,75,75,85,,,,,,,,
2025,4,37,PRS,BAS,YES,YES,10,15,25,30,34,42,46,51,58,64,73,79,81,89,97,105,,,,,,,,
2025,4,37,BAS,PRS,NO,NO,5,11,17,21,29,33,43,47,54,59,64,71,76,81,83,87,,,,,,,,
2025,4,38,MAD,PAR,YES,YES,7,13,17,24,32,40,46,52,59,61,67,75,75,80,84,93,,,,,,,,
2025,4,38,PAR,MAD,NO,NO,5,5,8,12,16,24,29,33,43,47,53,56,61,67,77,86,,,,,,,,
2025,4,39,PAM,HTA,NO,YES,2,7,12,18,28,32,36,47,52,59,65,70,74,80,90,93,,,,,,,,
2025,4,39,HTA,PAM,YES,NO,10,15,17,27,33,40,44,49,59,64,72,80,84,91,91,100,,,,,,,,
2025,4,40,VIR,MCO,YES,YES,6,12,17,19,22,28,34,37,42,44,51,59,61,72,74,77,,,,,,,,
2025,4,40,MCO,VIR,NO,NO,7,11,15,19,21,26,29,34,39,44,48,53,53,59,65,73,,,,,,,,
2025,5,41,DUB,BAR,YES,YES,6,11,18,24,26,26,28,33,36,45,51,58,63,71,74,83,,,,,,,,
2025,5,41,BAR,DUB,NO,NO,0,5,7,15,18,24,28,34,41,45,50,56,60,63,65,78,,,,,,,,
2025,5,42,ULK,MUN,YES,YES,3,8,11,14,21,28,34,37,42,51,57,62,70,74,79,88,,,,,,,,
2025,5,42,MUN,ULK,NO,NO,8,8,13,20,24,27,29,32,34,42,45,46,46,52,61,73,,,,,,,,
2025,5,43,TEL,OLY,NO,YES,5,16,16,24,27,33,38,48,50,54,60,70,81,88,93,94,,,,,,,,
2025,5,43,OLY,TEL,YES,NO,4,9,15,22,26,28,35,40,50,52,59,65,69,77,85,95,,,,,,,,
2025,5,44,ZAL,MIL,NO,YES,2,9,14,21,31,35,38,42,49,55,59,61,64,66,70,78,,,,,,,,
2025,5,44,MIL,ZAL,YES,NO,5,5,11,13,20,25,33,39,46,56,59,63,67,75,79,89,,,,,,,,
2025,5,45,IST,PAN,NO,YES,4,12,18,21,24,29,35,42,44,49,52,52,61,66,71,81,,,,,,,,
2025,5,45,PAN,IST,YES,NO,4,10,19,22,30,34,40,43,46,53,61,69,73,81,87,95,,,,,,,,
2025,5,46,MCO,PAM,YES,YES,6,16,23,27,33,39,47,57,60,64,68,71,76,81,85,90,,,,,,,,
2025,5,46,PAM,MCO,NO,NO,2,9,18,22,22,27,35,37,47,55,60,62,67,70,78,84,,,,,,,,
2025,5,47,BAS,PAR,NO,YES,2,8,14,20,25,31,38,40,43,47,56,64,70,73,77,79,,,,,,,,
2025,5,47,PAR,BAS,YES,NO,3,11,13,22,22,33,40,48,52,63,65,66,70,75,77,91,,,,,,,,
2025,5,48,RED,MAD,YES,YES,4,9,13,20,20,30,35,43,50,57,63,67,71,76,83,90,,,,,,,,
2025,5,48,MAD,RED,NO,NO,4,13,20,25,29,33,36,39,45,49,49,53,57,61,67,75,,,,,,,,
2025,5,49,ASV,VIR,NO,YES,6,11,14,24,26,31,36,42,49,51,60,64,64,73,75,83,,,,,,,,
2025,5,49,VIR,ASV,YES,NO,6,8,17,21,25,33,35,40,44,52,56,61,71,77,82,90,,,,,,,,
2025,5,50,PRS,HTA,NO,YES,7,15,21,25,31,33,38,44,48,53,61,70,70,73,81,88,,,,,,,,
2025,5,50,HTA,PRS,YES,NO,6,12,22,26,31,38,40,45,49,54,56,66,73,76,84,89,,,,,,,,
2025,6,51,TEL,MAD,YES,YES,8,10,17,17,26,33,44,57,62,64,73,76,80,84,88,92,,,,,,,,
2025,6,51,MAD,TEL,NO,NO,5,11,19,27,30,33,43,48,53,58,65,74,77,77,82,91,,,,,,,,
2025,6,52,RED,BAS,YES,YES,7,17,19,21,26,28,31,40,47,57,64,72,77,80,85,90,,,,,,,,
2025,6,52,BAS,RED,NO,NO,4,13,15,20,25,30,34,43,50,52,54,58,62,64,67,72,,,,,,,,
2025,6,53,MIL,PAM,NO,YES,2,9,13,18,20,29,42,48,52,57,62,74,79,87,98,100,,,,,,,,
2025,6,53,PAM,MIL,YES,NO,3,12,16,24,33,46,52,54,63,75,81,85,87,94,100,103,,,,,,,,
2025,6,54,BAR,ZAL,NO,YES,0,4,9,14,18,27,34,39,41,44,48,54,57,65,67,73,,,,,,,,
2025,6,54,ZAL,BAR,YES,NO,6,11,19,26,35,40,42,52,60,64,73,75,77,79,82,88,,,,,,,,
2025,6,55,HTA,MCO,YES,YES,10,17,22,27,31,36,38,44,47,54,58,62,67,74,78,85,,,,,,,,
2025,6,55,MCO,HTA,NO,NO,2,8,13,18,23,23,28,34,43,48,55,63,69,71,73,77,,,,,,,,
2025,6,56,ASV,DUB,YES,YES,9,12,17,21,26,32,36,44,46,48,54,59,65,70,73,85,,,,,,,,
2025,6,56,DUB,ASV,NO,NO,5,16,18,24,32,34,40,44,53,56,62,68,71,75,77,79,,,,,,,,
2025,6,57,IST,ULK,NO,YES,8,13,19,24,28,33,39,43,48,50,56,58,59,64,67,69,,,,,,,,
2025,6,57,ULK,IST,YES,NO,2,8,13,18,28,32,37,44,49,51,56,58,66,69,76,79,,,,,,,,
2025,6,58,MUN,OLY,NO,YES,7,11,13,15,15,19,28,29,32,38,44,52,60,65,67,71,,,,,,,,
2025,6,58,OLY,MUN,YES,NO,6,15,19,23,28,35,43,47,52,56,64,69,73,77,87,96,,,,,,,,
2025,6,59,PAR,PRS,NO,YES,4,10,18,26,26,33,39,46,46,49,53,60,68,78,80,83,,,,,,,,
2025,6,59,PRS,PAR,YES,NO,10,15,21,26,26,31,41,48,50,60,66,71,79,87,95,101,,,,,,,,
2025,6,60,VIR,PAN,YES,YES,2,9,14,19,24,34,38,48,52,57,62,69,72,76,84,92,,,,,,,,
2025,6,60,PAN,VIR,NO,NO,4,8,10,15,23,25,29,35,40,42,47,53,57,59,67,75,,,,,,,,
2025,7,61,BAS,DUB,YES,YES,6,11,18,26,32,37,41,41,44,53,61,64,72,76,86,92,,,,,,,,
2025,7,61,DUB,BAS,NO,NO,6,12,13,20,25,29,38,42,49,51,58,60,65,68,71,85,,,,,,,,
2025,7,62,RED,ASV,YES,YES,6,10,16,21,24,26,31,39,45,52,60,62,68,71,74,79,,,,,,,,
2025,7,62,ASV,RED,NO,NO,5,11,13,17,19,23,25,25,28,33,38,40,47,54,57,65,,,,,,,,
2025,7,63,BAR,MIL,YES,YES,0,5,12,14,18,24,28,36,44,48,59,64,65,67,69,74,,,,,,,,
2025,7,63,MIL,BAR,NO,NO,4,10,13,19,24,28,34,41,45,51,56,61,63,65,69,72,,,,,,,,
2025,7,64,MUN,MAD,YES,YES,13,18,23,27,33,37,39,44,54,57,61,69,74,82,82,90,,,,,,,,
2025,7,64,MAD,MUN,NO,NO,4,16,19,25,34,45,51,57,60,62,63,67,72,72,75,84,,,,,,,,
2025,7,65,PAN,TEL,YES,YES,6,15,22,24,32,39,44,47,52,60,66,68,71,83,89,99,,,,,,,,
2025,7,65,TEL,PAN,NO,NO,4,9,14,25,30,37,45,49,55,60,62,66,68,71,79,85,,,,,,,,
2025,7,66,PRS,IST,NO,YES,0,6,11,21,27,33,36,39,40,52,56,60,63,68,73,80,,,,,,,,
2025,7,66,IST,PRS,YES,NO,2,11,13,17,24,31,42,46,56,59,67,69,75,80,87,90,,,,,,,,
2025,7,67,PAM,ULK,YES,YES,8,14,19,27,34,38,47,51,57,62,70,76,76,82,87,94,,,,,,,,
2025,7,67,ULK,PAM,NO,NO,5,6,10,13,15,21,28,35,40,46,51,56,62,69,72,79,,,,,,,,
2025,7,68,ZAL,VIR,YES,YES,7,15,20,25,29,33,37,42,45,49,54,58,61,69,76,86,,,,,,,,
2025,7,68,VIR,ZAL,NO,NO,2,2,6,11,17,20,28,33,35,39,44,50,54,56,61,65,,,,,,,,
2025,7,69,HTA,PAR,YES,YES,4,10,16,25,27,29,39,43,50,52,62,70,77,85,89,97,,,,,,,,
2025,7,69,PAR,HTA,NO,NO,3,10,13,19,27,33,35,42,49,53,58,63,65,71,80,84,,,,,,,,
2025,7,70,OLY,MCO,NO,YES,1,5,11,20,25,30,33,38,45,49,54,60,66,68,78,87,,,,,,,,
2025,7,70,MCO,OLY,YES,NO,6,8,12,16,20,25,34,37,42,46,54,64,69,76,84,92,,,,,,,,
2025,8,71,MIL,PRS,YES,YES,2,9,13,23,30,37,43,47,54,59,64,67,70,78,82,86,,,,,,,,
2025,8,71,PRS,MIL,NO,NO,0,6,10,15,21,21,24,27,32,41,48,53,59,61,69,77,,,,,,,,
2025,8,72,MUN,VIR,YES,YES,5,11,14,18,23,30,34,41,46,48,56,61,66,70,81,86,,,,,,,,
2025,8,72,VIR,MUN,NO,NO,4,6,12,15,19,24,32,38,46,51,53,55,61,61,63,70,,,,,,,,
2025,8,73,TEL,RED,NO,YES,8,15,17,26,29,39,45,48,54,61,65,71,78,81,88,92,,,,,,,,
2025,8,73,RED,TEL,YES,NO,8,20,29,33,40,47,56,58,61,68,74,77,78,82,92,99,,,,,,,,
2025,8,74,MAD,ULK,YES,YES,12,18,22,25,29,34,39,49,49,55,58,64,69,74,80,84,,,,,,,,
2025,8,74,ULK,MAD,NO,NO,2,4,6,16,20,20,20,22,24,24,29,35,42,46,51,58,,,,,,,,
2025,8,75,PAM,DUB,YES,YES,6,9,12,23,27,32,36,38,40,52,56,60,65,74,74,80,,,,,,,,
2025,8,75,DUB,PAM,NO,NO,2,10,18,20,29,31,39,41,50,55,59,64,70,73,73,78,,,,,,,,
2025,8,76,ZAL,ASV,YES,YES,8,10,15,26,32,38,43,48,53,61,64,73,79,83,87,96,,,,,,,,
2025,8,76,ASV,ZAL,NO,NO,2,6,14,15,19,26,28,35,36,38,42,44,44,51,53,59,,,,,,,,
2025,8,77,MCO,PAN,YES,YES,5,11,18,27,29,37,44,50,52,61,65,68,75,85,89,92,,,,,,,,
2025,8,77,PAN,MCO,NO,NO,4,7,14,20,24,32,32,41,50,53,56,58,62,64,73,84,,,,,,,,
2025,8,78,BAS,IST,YES,YES,4,7,12,22,24,34,39,43,46,56,62,65,70,72,76,86,,,,,,,,
2025,8,78,IST,BAS,NO,NO,3,6,9,11,18,23,28,39,41,49,52,58,58,61,69,75,,,,,,,,
2025,8,79,OLY,HTA,YES,YES,2,8,14,18,20,22,27,33,38,38,38,44,48,52,58,62,,,,,,,,
2025,8,79,HTA,OLY,NO,NO,5,10,10,21,25,31,32,39,39,41,41,43,45,50,52,58,,,,,,,,
2025,8,80,PAR,BAR,NO,YES,6,6,10,17,25,29,32,41,45,50,52,56,60,67,72,76,,,,,,,,
2025,8,80,BAR,PAR,YES,NO,3,10,18,18,18,22,31,33,40,47,53,58,58,62,69,78,,,,,,,,
2025,9,81,PRS,MUN,NO,YES,4,10,14,19,19,27,35,42,48,58,63,68,69,72,72,82,,,,,,,,
2025,9,81,MUN,PRS,YES,NO,5,15,19,22,29,37,45,53,57,58,63,64,69,72,75,86,,,,,,,,
2025,9,82,BAS,VIR,YES,YES,8,11,15,23,29,38,42,46,48,54,56,65,75,78,83,87,,,,,,,,
2025,9,82,VIR,BAS,NO,NO,2,4,10,14,21,28,32,34,41,45,54,57,59,70,70,76,,,,,,,,
2025,9,83,RED,PAN,YES,YES,6,8,14,20,29,36,42,46,50,53,60,67,72,74,78,86,,,,,,,,
2025,9,83,PAN,RED,NO,NO,2,4,9,12,15,17,21,32,32,33,37,40,49,59,63,68,,,,,,,,
2025,9,84,DUB,HTA,NO,YES,5,16,24,26,28,38,44,48,55,57,62,67,75,83,91,97,,,,,,,,
2025,9,84,HTA,DUB,YES,NO,8,14,18,25,29,33,41,47,57,68,76,82,89,89,98,109,,,,,,,,
2025,9,85,ULK,ASV,YES,YES,0,4,12,18,22,31,39,45,45,49,52,59,66,70,75,81,,,,,,,,
2025,9,85,ASV,ULK,NO,NO,2,6,8,10,16,21,26,34,37,41,41,48,50,57,64,67,,,,,,,,
2025,9,86,TEL,MCO,NO,YES,3,14,21,26,33,37,46,49,55,60,69,76,80,84,87,96,101,107,,,,,,
2025,9,86,MCO,TEL,YES,NO,4,10,19,22,30,34,36,46,49,58,64,71,74,82,94,96,102,112,,,,,,
2025,9,87,IST,MIL,NO,YES,0,2,10,16,19,26,30,36,40,45,48,48,50,57,64,73,78,84,86,93,,,,
2025,9,87,MIL,IST,YES,NO,3,8,13,16,18,20,25,33,39,45,51,59,63,63,66,73,79,84,91,97,,,,
2025,9,88,BAR,MAD,NO,YES,4,9,16,24,26,35,43,48,48,55,62,69,69,79,81,92,,,,,,,,
2025,9,88,MAD,BAR,YES,NO,5,14,22,34,41,47,54,58,63,71,74,85,87,89,92,101,,,,,,,,
2025,9,89,OLY,PAR,YES,YES,5,10,18,20,23,31,31,38,41,46,48,53,56,62,69,80,,,,,,,,
2025,9,89,PAR,OLY,NO,NO,2,12,17,20,25,25,35,39,43,49,54,58,62,64,68,71,,,,,,,,
2025,9,90,ZAL,PAM,YES,YES,5,8,10,18,24,30,35,38,40,44,51,61,67,72,76,86,,,,,,,,
2025,9,90,PAM,ZAL,NO,NO,3,8,12,17,22,24,28,35,39,45,47,58,60,67,71,77,,,,,,,,
2025,10,91,ULK,TEL,YES,YES,2,11,13,20,25,30,33,40,48,55,60,65,65,70,77,84,,,,,,,,
2025,10,91,TEL,ULK,NO,NO,4,8,13,15,17,21,25,30,30,38,46,56,61,68,71,75,,,,,,,,
2025,10,92,HTA,BAS,YES,YES,6,15,17,26,36,42,50,58,67,71,80,86,94,98,104,114,,,,,,,,
2025,10,92,BAS,HTA,NO,NO,4,11,17,24,29,37,43,48,53,64,68,74,76,81,87,89,,,,,,,,
2025,10,93,PRS,PAN,NO,YES,5,13,18,28,32,36,40,43,53,57,65,72,84,84,89,95,,,,,,,,
2025,10,93,PAN,PRS,YES,NO,2,9,15,27,33,45,47,52,57,59,63,72,79,86,91,101,,,,,,,,
2025,10,94,PAM,MAD,YES,YES,2,8,18,22,29,32,37,45,51,57,62,67,72,74,82,89,,,,,,,,
2025,10,94,MAD,PAM,NO,NO,5,12,19,21,23,30,32,38,47,52,57,60,60,65,71,76,,,,,,,,
2025,10,95,VIR,IST,YES,YES,5,16,20,28,32,36,41,48,57,64,73,76,86,86,93,99,,,,,,,,
2025,10,95,IST,VIR,NO,NO,5,13,20,24,31,35,39,45,50,60,68,73,77,82,82,89,,,,,,,,
2025,10,96,DUB,RED,YES,YES,9,15,19,29,31,36,46,51,56,62,65,69,78,86,90,102,,,,,,,,
2025,10,96,RED,DUB,NO,NO,3,12,17,21,29,38,43,47,47,52,57,65,70,75,77,86,,,,,,,,
2025,10,97,PAR,MCO,YES,YES,5,15,17,19,24,26,28,36,42,48,59,64,71,74,74,78,,,,,,,,
2025,10,97,MCO,PAR,NO,NO,3,4,14,20,23,25,29,32,34,39,43,49,54,62,74,76,,,,,,,,
2025,10,98,MIL,ASV,YES,YES,5,7,13,18,26,30,37,40,43,49,54,56,63,66,72,80,,,,,,,,
2025,10,98,ASV,MIL,NO,NO,0,2,4,9,15,22,27,32,36,44,48,51,55,57,67,72,,,,,,,,
2025,10,99,MUN,BAR,NO,YES,2,9,12,15,19,24,30,32,37,46,52,57,61,66,68,74,,,,,,,,
2025,10,99,BAR,MUN,YES,NO,6,6,12,20,27,31,38,43,48,52,52,61,64,70,74,75,,,,,,,,
2025,10,100,OLY,ZAL,YES,YES,4,14,22,28,34,38,45,50,59,67,71,74,77,83,89,95,,,,,,,,
2025,10,100,ZAL,OLY,NO,NO,4,9,9,14,14,23,29,36,38,42,48,53,56,63,68,78,,,,,,,,
2025,11,101,ULK,HTA,YES,YES,0,4,9,13,14,17,23,27,34,41,44,54,58,66,70,74,,,,,,,,
2025,11,101,HTA,ULK,NO,NO,0,5,10,13,13,21,28,28,28,32,39,44,52,59,63,68,,,,,,,,
2025,11,102,TEL,BAS,YES,YES,3,6,18,25,29,38,45,53,54,59,66,71,76,81,87,89,,,,,,,,
2025,11,102,BAS,TEL,NO,NO,3,7,11,18,24,32,37,43,47,57,62,68,74,75,81,83,,,,,,,,
2025,11,103,PRS,PAM,YES,YES,4,9,11,15,19,23,30,37,43,51,55,67,72,76,82,90,,,,,,,,
2025,11,103,PAM,PRS,NO,NO,2,5,10,14,21,31,36,49,52,61,62,71,75,79,86,86,,,,,,,,
2025,11,104,MAD,PAN,NO,YES,7,9,9,16,20,29,34,38,42,50,54,59,59,66,71,77,,,,,,,,
2025,11,104,PAN,MAD,YES,NO,5,15,19,22,28,36,43,52,59,61,67,73,75,79,82,87,,,,,,,,
2025,11,105,RED,MCO,YES,YES,4,11,18,23,24,28,36,42,49,56,60,65,69,74,80,91,,,,,,,,
2025,11,105,MCO,RED,NO,NO,5,10,16,25,31,35,37,46,54,57,59,64,68,72,75,79,,,,,,,,
2025,11,106,IST,MUN,YES,YES,3,12,16,19,24,26,34,42,48,50,52,60,63,65,72,74,,,,,,,,
2025,11,106,MUN,IST,NO,NO,5,5,7,14,19,24,27,34,38,41,46,47,56,61,64,72,,,,,,,,
2025,11,107,DUB,ZAL,YES,YES,4,8,17,24,29,38,43,45,49,55,62,73,80,84,90,95,,,,,,,,
2025,11,107,ZAL,DUB,NO,NO,10,18,26,34,36,36,42,48,51,58,58,64,69,76,82,89,,,,,,,,
2025,11,108,MIL,OLY,YES,YES,12,14,20,27,31,37,42,47,50,55,63,67,73,75,83,88,,,,,,,,
2025,11,108,OLY,MIL,NO,NO,7,12,16,21,25,29,33,43,47,47,50,56,63,68,74,87,,,,,,,,
2025,11,109,BAR,VIR,YES,YES,5,7,17,20,25,33,39,45,51,55,59,61,70,74,83,88,,,,,,,,
2025,11,109,VIR,BAR,NO,NO,4,9,14,19,28,36,43,43,48,52,60,67,69,69,76,81,,,,,,,,
2025,11,110,ASV,PAR,YES,YES,9,16,21,26,31,36,40,42,48,55,60,66,71,73,75,88,,,,,,,,
2025,11,110,PAR,ASV,NO,NO,2,6,15,20,23,28,33,36,44,48,55,63,67,73,79,87,,,,,,,,
2025,12,111,ASV,MCO,NO,YES,4,7,9,11,11,13,19,21,23,29,35,40,42,45,48,52,,,,,,,,
2025,12,111,MCO,ASV,YES,NO,2,4,12,14,17,22,27,34,43,49,58,64,65,67,75,84,,,,,,,,
2025,12,112,IST,BAR,YES,YES,2,9,13,18,21,24,29,35,43,47,54,58,61,63,69,74,,,,,,,,
2025,12,112,BAR,IST,NO,NO,3,7,11,19,23,33,41,46,48,50,50,55,59,64,68,73,,,,,,,,
2025,12,113,MIL,HTA,NO,YES,4,9,15,25,30,34,36,45,45,50,56,64,70,73,75,83,,,,,,,,
2025,12,113,HTA,MIL,YES,NO,8,14,17,25,28,34,40,49,58,63,72,76,84,92,101,105,,,,,,,,
